NAME,ISO,gdppc
Aruba,ABW,30271.83347
Afghanistan,AFG,426.0300153
Angola,AGO,2299.640572
Albania,ALB,4830.596317
Andorra,AND,36839.87622
United Arab Emirates,ARE,42535.96605
Argentina,ARG,12402.49079
Armenia,ARM,4522.319107
American Samoa,ASM,14396.36856
Antigua and Barbuda,ATG,14692.41562
Australia,AUS,59341.23774
Austria,AUT,45238.39071
Azerbaijan,AZE,5344.421348
Burundi,BDI,261.0193796
Belgium,BEL,42901.43206
Benin,BEN,1214.07759
Burkina Faso,BFA,739.6727224
Bangladesh,BGD,1684.43439
Bulgaria,BGR,8633.982291
Bahrain,BHR,23234.71207
"Bahamas, The",BHS,26705.56601
Bosnia and Herzegovina,BIH,5862.4583
Belarus,BLR,6418.237634
Belize,BLZ,5733.352611
Bermuda,BMU,105187.7881
Bolivia,BOL,3061.73861
Brazil,BRA,8537.93922
Barbados,BRB,14800.83815
Brunei Darussalam,BRN,29673.40332
Bhutan,BTN,2976.906483
Botswana,BWA,6366.592213
Central African Republic,CAF,370.6757491
Canada,CAN,43936.3081
Switzerland,CHE,87339.75975
Channel Islands,CHI,
Chile,CHL,14115.96014
China,CHN,11188.30254
Cote d'Ivoire,CIV,2377.97344
Cameroon,CMR,1432.862685
"Congo, Dem. Rep.",COD,501.2390674
"Congo, Rep.",COG,1515.893867
Colombia,COL,6418.097751
Comoros,COM,1355.53873
Cabo Verde,CPV,2968.86077
Costa Rica,CRI,12894.296
Cuba,CUB,7291.067885
Curacao,CUW,15633.23336
Cayman Islands,CYM,76577.82224
Cyprus,CYP,28329.20313
Czechia,CZE,20083.8096
Germany,DEU,42726.48532
Djibouti,DJI,2905.906807
Dominica,DMA,6964.783282
Denmark,DNK,58359.58399
Dominican Republic,DOM,8410.605656
Algeria,DZA,3943.171983
Ecuador,ECU,5492.489271
"Egypt, Arab Rep.",EGY,3898.516582
Eritrea,ERI,
Spain,ESP,26125.87167
Estonia,EST,21707.24075
Ethiopia,ETH,834.9579586
Finland,FIN,46297.24182
Fiji,FJI,4442.932604
France,FRA,38045.90216
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,2794.786416
Gabon,GAB,6577.044153
United Kingdom,GBR,45101.53603
Georgia,GEO,4931.823725
Ghana,GHA,2014.736474
Gibraltar,GIB,
Guinea,GIN,972.7790353
"Gambia, The",GMB,666.4712123
Guinea-Bissau,GNB,613.8981099
Equatorial Guinea,GNQ,5833.102932
Greece,GRC,18907.84914
Grenada,GRD,8223.298477
Greenland,GRL,
Guatemala,GTM,4388.436803
Guam,GUM,31325.3963
Guyana,GUY,10857.33815
"Hong Kong SAR, China",HKG,44481.33976
Honduras,HND,2428.029181
Croatia,HRV,15166.41329
Haiti,HTI,1283.05287
Hungary,HUN,15518.76866
Indonesia,IDN,3892.53899
Isle of Man,IMN,
India,IND,1936.942702
Ireland,IRL,88966.67216
"Iran, Islamic Rep.",IRN,5344.958027
Iraq,IRQ,4224.253835
Iceland,ISL,54417.28905
Israel,ISR,40805.19176
Italy,ITA,31505.94892
Jamaica,JAM,4971.889955
Jordan,JOR,3781.528286
Japan,JPN,35291.01386
Kazakhstan,KAZ,11298.35762
Kenya,KEN,1704.966576
Kyrgyz Republic,KGZ,1123.372844
Cambodia,KHM,1429.937027
Kiribati,KIR,1386.55372
St. Kitts and Nevis,KNA,18795.91507
"Korea, Rep.",KOR,32730.65063
Kuwait,KWT,
Lao PDR,LAO,2566.277422
Lebanon,LBN,6095.56878
Liberia,LBR,629.8205547
Libya,LBY,9043.544306
St. Lucia,LCA,9362.35437
Liechtenstein,LIE,
Sri Lanka,LKA,4375.947708
Lesotho,LSO,973.7040092
Lithuania,LTU,18233.71578
Luxembourg,LUX,107792.189
Latvia,LVA,16609.72278
"Macao SAR, China",MAC,40601.01604
St. Martin (French part),MAF,
Morocco,MAR,3290.620361
Monaco,MCO,204190.1631
Moldova,MDA,3694.65203
Madagascar,MDG,442.1216039
Maldives,MDV,9807.577115
Mexico,MEX,9525.409684
Marshall Islands,MHL,5262.475624
North Macedonia,MKD,5287.068379
Mali,MLI,744.7604248
Malta,MLT,27891.12827
Myanmar,MMR,1317.453014
Montenegro,MNE,7350.454745
Mongolia,MNG,4107.183652
Northern Mariana Islands,MNP,
Mozambique,MOZ,573.1126633
Mauritania,MRT,1609.930063
Mauritius,MUS,9703.524222
Malawi,MWI,389.3788187
Malaysia,MYS,10575.87354
North America,NAC,60011.7431
Namibia,NAM,4196.285304
New Caledonia,NCL,
Niger,NER,507.7111299
Nigeria,NGA,2429.585781
